"ano","ano2","sinano","c.total","c.rosa","c.7barbas","c.branco","tsm_med_RN","tsm_coef_RN","tsm_med_chuv_RN","tsm_med_seco_RN","tsm_amp_chuv_RN","tsm_amp_seco_RN","prec_med_RN","prec_coef_RN","prec_med_chuv_RN","prec_med_seco_RN","prec_amp_chuv_RN","prec_amp_seco_RN","c.rosa.recon","c.branco.recon","c.7barbas.recon"
1973,1992.26482094685,0.935809244104226,462,0,0,0,27.880763636695,2.34786151914685,28.2127161480132,27.251897017161,1.8461322784423,0.4717102050781,75.3509090909091,113.996360709677,183.835294117647,26.8184210526316,225.9,72.214073654153,45.8480914116221,35.7924364888049,159.811330259064
1974,1979.79193921566,0.952037999977709,311,0,0,0,27.3588230344984,2.54634076659438,27.6338921501523,26.7919381459554,1.980484008789,1.0491256713867,109.033333333333,107.373429440286,203.041379310345,21.0903225806452,389.7,77,31.0521954857823,33.180771111264,110.449747448714
1975,1995.70654729355,0.966003780192221,818,0,0,0,27.379320303599,2.39578498941992,27.6399902162098,26.8956872622172,1.9466419219971,0.996303558349599,77.4383333333333,120.14637260277,171.704166666667,14.5944444444444,239.6,66.4,52.0475583942292,44.1500859217844,172.780685648941
1976,1975.3888182598,0.977638548935235,271,0,0,0,26.9521266089545,2.43450182747972,27.1918512071882,26.4998313585917,1.9162921905518,1.1836452484131,58.2616666666667,119.654804844876,153.211764705882,20.7232558139535,173,76.8,27.0460430779636,31.9920008791982,94.8441954205185
1977,1998.51541978871,0.986885992884045,710,0,0,0,27.3104806476169,2.20026079112397,27.5939270201183,26.8518784840902,1.786792755127,1.0410289764405,80.9216666666667,115.831496591573,169.325,21.9861111111111,351.4,75.9,56.6212112939224,43.6007658905657,186.800252172493
1978,1957.12972882567,0.993701781443465,136,0,0,0,27.3459533055623,2.44229038732069,27.6818998427618,26.7013764381409,1.8156967163086,0.610996246337802,61.605,110.179704442624,148.094444444444,24.5380952380952,179.9,71.2,15.2115286858361,19.4983775993721,43.41127446067
1979,1977.53769855201,0.998053766634097,290,0,0,0,27.4839476479424,2.49634762429633,27.738216763451,27.0010538101196,2.2215347290039,0.945608139038097,33.8666666666667,136.033868803685,161.86,22.2309090909091,140.9,79.6,28.9664183993497,29.5129168194129,101.90142060784
1980,1985.79338461597,0.999922121802617,374,0,0,49,27.4335367414686,2.30614040653739,27.7276000068301,26.8276028633118,1.7175254821777,0.637598037719798,42.6266666666667,142.089380916019,160.37,19.078,166.1,75.5,37.4589300272978,36.9234153669873,132.395546015765
1981,1998.68982141262,0.999299418632729,663,0,0,140,27.1884027057224,2.04820021700545,27.3983528500512,26.7441679636637,1.6350059509277,0.785379409790099,35.1125,178.703422051557,166.585714285714,12.6658536585366,190.7,69.7,56.4746192011736,47.9189721572436,185.776549206958
1982,1997.8396778769,0.996190642244561,596,0,0,124,27.2124958568149,2.86999059494837,27.5312799726214,26.5845473607381,2.3201484680176,0.943418502807599,43.525,121.176386097935,135.55,20.51875,135.5,71.9,54.8467716988092,46.19851955472,184.163621285095
1983,1987.45980735447,0.990613144479053,394,0,0,31,27.4101634025574,2.57794466587686,27.7591748010545,26.744653860728,1.8970928192139,0.813905715942397,31.3492307692308,134.07153519958,118.511111111111,17.3410714285714,77.6,74.6,39.4545560133709,39.6222838918497,139.224769858092
1984,1998.08688618324,0.982596535771026,608,0,0,33,27.6009781095717,2.50799545704547,27.8937896546863,27.0567269325256,2.1043605804443,0.9255771636963,87.8527777777778,133.73304968425,224.017391304348,23.9387755102041,457.4,79.1,55.5680067902104,41.0319384059936,184.810168576575
1985,1996.79035161795,0.972182516318668,789,0,0,31,27.6112286249796,2.65004808872991,27.969750449771,26.8682780265808,1.930362701416,0.5279521942138,125.530555555556,110.289369236426,223.794444444444,27.2666666666667,417.2,78.7,54.1736785706592,39.4693188474626,178.385570454449
1986,1991.52675052448,0.959424647556539,897,0,0,41,27.3932151264615,2.16074627411277,27.6649304344541,26.8746698697408,1.7324161529541,0.6137886047363,123.356666666667,118.524105877887,246.038461538462,29.5411764705882,560.1,77.1,46.5144479806924,33.6787979436466,153.712305645196
1987,1998.68730643701,0.944388065232377,685,0,0,37,27.7472304768032,2.07470349635124,28.0740821475074,27.186155796051,1.5085086822509,0.644214630127003,91.1625,130.803629754449,234.136363636364,16.2714285714286,286.7,57.1,56.0283990641244,44.1147249780033,187.215548447299
1988,1979.05462337575,0.927149135673547,304,0,0,21,27.9023008876377,2.86629406046593,28.3108355204264,27.1405293146769,2.0146446228027,0.952348709106399,103.571428571429,122.718182097756,244.22,25.4333333333333,314.4,75.6,30.323199865542,28.678653372548,107.488321533117
1989,1971.53488134681,0.907795057105996,239,0,0,6,27.7452508078681,1.81437123062558,27.9759163629441,27.3118101755778,1.501049041748,0.591499328613299,76.668,119.071269528369,184.542857142857,34.7166666666667,249.5,77.9,23.9780248733705,20.8388673137802,82.3414333640519
1990,1995.82152659667,0.886423408154489,532,0,0,26,27.434604326884,2.23857830031494,27.7005657014393,26.9695506095886,2.0205116271973,0.924299240112301,52.751724137931,139.601517728269,178.95,19.8304347826087,182.7,64.2,51.0895604294048,42.1664275410725,174.589422854274
1991,1991.19924699123,0.863141645908404,445.166666666667,0,0,26,27.2561415036519,3.25401439467923,27.6619586036319,26.5010013580322,2.6705436706543,0.893854141235401,113.683333333333,108.958707180787,234.34,27.5,205.6,74.9,44.3962333696624,39.6654985675942,155.400979806117
1992,1990.19464842633,0.838066556178734,430.361111111111,0,0,26,26.8992479642232,2.70092698983297,27.2464493342808,26.2431832949321,1.8682498931885,0.802251815795898,127.275,90.9313434494609,203.5,20.56,234.9,47.9,42.3091343352665,44.4878509611746,151.697427448679
1993,1991.55132274034,0.811323658800943,450.587962962963,0,0,26,27.2317711512248,2.03580918908523,27.4440101441883,26.9021962483724,1.6548328399659,1.0450477600098,44.255,138.462019720947,149.55,17.93125,144.4,62.2,44.5601400268512,40.8956224721846,156.067203928996
1994,1989.6189421014,0.783046571050679,422.269290123457,0,0,26,27.3218054771423,2.71638814920987,27.6655426025391,26.5952523549398,2.1764430999756,0.495447158813501,135.136956521739,103.100722889333,204.286206896552,17.1764705882353,543.8,68.8,42.0937653154689,43.0754802679161,148.909768048235
1995,1978.84137233104,0.753376332437337,302,0,0,0,27.266812271542,2.84801696930261,27.615016301473,26.564423084259,2.0911026000977,0.962080001831101,86.201724137931,131.870429676157,234.677777777778,19.3875,316,63.9,29.9539943539418,34.1313900143875,106.556041812274
1996,1992.26482094685,0.722460694320087,462,46.2,161.7,45.7523395824831,27.5254536204868,2.38863279306804,27.8698125566755,26.9965848922729,1.8762702941895,1.1232261657715,81.4883333333333,116.311164178355,182.831818181818,22.8157894736842,271,76.9,45.9704429973805,39.0153837616757,159.741948352444
1997,1991.08930911393,0.690453377954393,443.5,44.35,155.225,43.9202653784226,27.1300826072693,2.56302996383488,27.2767958868118,26.7870704332988,2.1871700286865,1.4288158416748,59.3380952380952,138.211373479147,180.94375,17.9404255319149,258.8,78.7,44.3346555366563,41.3431721897422,154.116497480636
1998,1987.21718050947,0.657513304720526,391,39.1,136.85,38.7211358804132,27.8998361163669,2.42049469302798,28.2695245288667,27.2946812311808,1.8488082885742,0.7268962860107,57.6194444444444,190.784270854892,182.011111111111,16.1555555555556,710.4,79.8,39.2595652363958,35.3522874120659,137.020380940376
1999,1985.79338461597,0.623803802411014,374,37.4,130.9,37.0376082334387,27.6396276156108,2.42940173305554,27.9144357045492,27.0954748789469,1.9995555877685,1.0014724731445,49.7638888888889,120.900961739025,139.933333333333,19.7074074074074,201.3,73.1,37.4128790536568,35.5123872568178,132.88313821993
2000,1988.05504594625,0.58949179155989,401.5,40.15,140.525,39.7609617800151,27.6377334064908,2.48981198974123,27.9971874782017,26.9918395678203,1.8173828125,0.578813552856399,115.701587301587,101.658987815075,189.429411764706,29.2620689655172,497.2,76.2,40.234082824975,34.1046505660971,142.48286030156
2001,1984.6034911915,0.554746955881304,360.5,36.05,126.175,35.7006892196648,27.5344078275893,2.53105143906708,27.8316853841146,26.998486995697,2.0092010498047,0.840381622314499,55.9538461538462,170.78680975516,205.072727272727,15.9463414634146,283.1,77.6,36.1227697270543,36.0411264013263,127.165253654817
2002,1990.72084386457,0.519740900950844,438,43.8,153.3,43.3755946691073,27.5150180922614,2.286312124011,27.7642242794945,27.0609780947367,1.811445236206,1.1475944519043,89.4916666666667,116.682466324543,179.5875,17.415,401.5,76.5,43.7687816650041,40.2228807782695,153.147867506351
2003,1991.9879484527,0.484646305307353,457.5,45.75,160.125,45.3066999112251,27.8773273362054,2.45508505793326,28.1505423046294,27.3312403361003,2.0534763336182,0.731716156005902,71.8208333333333,109.51206865285,154.964285714286,18.9113636363636,229.6,68.5,45.3499228938578,38.792784668501,158.756581370768
2004,1996.66535679435,0.449636068176264,554.5,55.45,194.075,54.9127106027854,27.7461467848884,2.60164628013583,28.0649220602853,27.09241771698,2.0632667541504,0.591590881347699,112.914285714286,127.580137592224,231.732258064516,18.4692307692308,562.3,65.5,52.5439377255622,42.9502560521125,178.719183903561
2005,1988.5960007608,0.414882458019471,408.5,40.85,142.975,40.4541790464163,27.7431219418844,2.84980868519297,28.1300801776704,27.0136914253235,2.0531845092774,0.798130035400401,74.0154929577465,180.958980266468,238.570588235294,22.2111111111111,679.8,73.4,40.8640493417689,35.2217543055892,142.772366519537
2006,1973.97811693288,0.380556266097818,259,25.9,90.65,25.6490388568466,27.7993281682332,2.51345079266956,28.0720837002709,27.3361838658651,2.1566162109375,0.954839706420898,77.9828571428571,119.849101666017,168.185714285714,17.847619047619,297.2,79.3,25.9028635517697,27.7443048048257,90.1604306274948
2007,1975.61990722915,0.346825969195469,273,27.3,95.55,27.0354733896491,27.7192548116048,3.06587841507587,28.0403967357817,27.0444105466207,2.3225898742675,1.3980903625488,70.7591549295775,138.012979974516,186.228571428571,22.262,474.2,74.9,27.2202663237478,28.1029032926379,95.3126783228513
2008,1997.67852824928,0.313856905595594,758.115396319452,0,0,0,27.8058571285672,2.85163303333174,28.1891123453776,27.1785810788472,2.3312187194824,0.953468322753899,106.78,127.498196320409,266.875,23.2521739130435,435.5,79.8,55.5612431299526,39.4457808088953,182.050286015386
2009,1983.70127159392,0.281810468319621,996.565572471268,0,0,0,27.7159423298306,3.00986310613778,28.1433093661354,26.9605291684469,2.4294204711914,0.583106994628899,128.870422535211,98.361656540034,226.548648648649,22.5735294117647,357.1,76.7,36.9492802846108,30.7406897867872,121.915901507321
2010,1996.43172414004,0.250843319543787,799.338646755773,0,0,0,28.169764412774,3.24354895789151,28.6761003221784,27.3633964856466,2.5059661865235,1.017864227295,58.1457142857143,112.868300682421,141.486363636364,19.9479166666667,181.2,70.9,53.3195602641819,39.1851678856583,176.544654430526
2011,1997.21605102505,0.221106629990628,775.373503107266,0,0,0,27.8007363213433,2.6444798323902,28.2217402685256,27.0551568667094,1.869836807251,0.579727172851602,99.0380281690141,109.682739652531,193.91875,21.1871794871795,362.2,76.5,54.731952321582,41.444109180169,180.486912096769
