"ano","ano2","sinano","c.total","c.rosa","c.7barbas","c.branco","tsm_med_MA","tsm_coef_MA","tsm_med_chuv_MA","tsm_med_seco_MA","tsm_amp_chuv_MA","tsm_amp_seco_MA","prec_med_MA","prec_coef_MA","prec_med_chuv_MA","prec_med_seco_MA","prec_amp_chuv_MA","prec_amp_seco_MA","c.rosa.recon","c.branco.recon","c.7barbas.recon"
1968,1986.3568297319,0.823877617402935,8595,0,0,0,27.42823193868,2.05329640126968,27.9614736175537,26.9610292434692,1.0432090759278,1.3783149719239,151.460681573689,102.666354763301,287.560541385573,21.3453254223359,644.039128943759,65.3777251126788,1485.89993164881,3336.79880598628,2760.94117002749
1969,1986.16700777902,0.850015974192204,8954,0,0,0,27.7938049634298,2.42190086213437,28.3648026275635,27.1264379501343,1.3382873535156,1.1661128997803,150.351974504566,95.6906854860062,263.530129045178,23.3782060058889,452.893422067901,68.7393281729701,956.951797619972,3587.08752390943,3054.81314722745
1970,1986.16059436419,0.874394206722028,7861,0,0,0,27.6354353904724,1.82362937691514,28.1589038085937,27.2801495552063,0.838016510009798,0.8328952789307,163.956181950778,140.841246190175,266.383065349494,8.73333333333333,502.803356481482,62.8745805163629,1677.61074325394,3224.4327801778,2040.72705807326
1971,1980.05766588836,0.896891586574461,5465,0,0,0,27.4113924344381,1.37264987105341,27.7168099975586,27.0498571395874,0.627456665039102,1.0805339813233,264.475,108.786976783377,442.557142857143,15.16,525.6,29.6,1136.98786047335,2499.17878805486,1655.98377117105
1972,1984.39710575818,0.917396951420413,6761,0,0,0,27.4197257359823,1.11708358513016,27.4528807067871,27.2597779273987,0.835893630981502,1.3031749725341,132.191666666667,80.2662896757406,192.4125,11.75,208.3,40.3,2084.0347497066,2704.60672131897,1324.97640812229
1973,1981.92856711422,0.935809244104226,5939,0,0,0,27.8863658905029,1.38341873522625,28.1381990051269,27.6395631790161,1.0485000610352,0.783777236938501,220.933333333333,78.1776583010916,286.366666666667,24.6333333333333,422.2,55.3,893.741507523463,2755.68009592964,1433.50593925729
1974,1971.22587234071,0.952037999977709,3850,0,0,0,27.3289524396261,1.28400406774704,27.5879479217529,27.0590403556824,0.651140213012699,1.2587814331054,292.341666666667,89.9453265126919,426.525,23.975,671.3,60.8,388.066880326312,2017.66441726722,1183.37241900147
1975,1978.70442490979,0.966003780192221,5165,0,0,0,27.4555393854777,1.6519352410454,27.7328854370117,27.0829866409302,1.2429294586181,1.5340557098389,143.994117647059,108.636178405263,303.071428571429,32.64,309.5,65.3,706.329626681782,2532.65185160119,1705.91181627002
1976,1984.73261833741,0.977638548935235,6907,0,0,0,27.2100923220317,2.02572165071735,27.654421005249,26.6477500915527,0.849561691284201,1.5080509185791,102.432352941176,120.094914370764,226.392307692308,25.6952380952381,346.4,76.9,1482.0798941382,2986.77249300039,2053.21840065772
1977,1986.01472519186,0.986885992884045,9121,0,0,0,27.4703688621521,1.53712923138899,27.4702628326416,27.2214597702026,1.5015735626221,1.092206954956,173.62,93.7551710861008,298.9,20.5,434.5,78.4,1966.55892871119,3184.65215384866,2227.53172289575
