"ano","ano2","sinano","c.total","c.rosa","c.7barbas","c.branco","tsm_med_AL","tsm_coef_AL","tsm_med_chuv_AL","tsm_med_seco_AL","tsm_amp_chuv_AL","tsm_amp_seco_AL","prec_med_AL","prec_coef_AL","prec_med_chuv_AL","prec_med_seco_AL","prec_amp_chuv_AL","prec_amp_seco_AL","c.rosa.recon","c.branco.recon","c.7barbas.recon"
1971,1963.14579141726,0.896891586574461,137,0,0,0,27.1827797094981,3.41627285994983,27.4403184254964,26.5652704238891,2.774133682251,0.3897399902343,111.37779914044,95.6735987714211,205.626866763404,35.280605480454,370.851814036191,81.8924707602339,17.2914195704778,0.314324969582901,17.6935598777088
1972,1963.14579141726,0.917396951420413,137,0,0,0,27.2513782183329,2.03242829409962,27.2385346094767,27.243043422699,1.6136074066162,1.1804122924805,115.055559812592,99.9473097177416,214.399077181203,39.5017370841487,388.681371832359,87.9598871471374,17.3087140358084,0.714729738707331,94.0336595393114
1973,1962.34063280782,0.935809244104226,118,0,0,0,27.849018573761,2.64940526099322,28.0903089841207,27.3462357521057,2.0759067535401,0.565761566162102,132.197866012294,97.9945635980479,220.52675033272,35.6786033423086,359.482944161255,75.5487586260318,13.8680334817244,0.361318781010927,5.98393111180472
1974,1960.48603629454,0.952037999977709,75,0,0,0,27.3475842475891,2.99898157749345,27.3572166760762,27.0107321739196,2.3642406463623,1.0941410064697,82.15,91.2634470827342,161.4,42.525,113.6,70,20.6147689641756,0.469125285022264,426.935099109928
1975,1959.82851236405,0.966003780192221,60,0,0,0,27.2592693169912,2.99668064075338,27.2916954358419,26.968918800354,2.5247802734375,0.925310134887702,211.408333333333,96.2590026026977,276.522222222222,16.0666666666667,553.7,75.5887774348423,5.80572654779245,0.340312678782817,19.9574624054717
1976,1959.78448301405,0.977638548935235,59,0,0,0,26.7380293210347,2.67625718069117,26.7399826049805,26.6116409301757,2.0892944335937,1.3019695281982,169.183333333333,60.37848489555,219.475,68.6,211.2,62.5,10.266942070631,0.531498801200481,107.828856083434
1977,1960.04829457412,0.986885992884045,65,0,0,0,27.124754190445,2.54311586727344,27.3002398808797,26.8930263519287,2.2096672058105,1.0614795684814,157.93125,101.680721548359,290.9,54.5111111111111,586.1,99,10.7919957833845,0.340218659574832,56.3826448408143
1978,1966.43969438517,0.993701781443465,217,0,0,0,27.1229569117228,2.20441075619616,27.2054274876912,26.8242425918579,1.6295223236084,0.713441848754901,138.60625,86.4391107138153,243.1,42.472,354.5,94.4,17.115832329748,0.800724787676341,90.6032520794785
1979,1970.90218629249,0.998053766634097,332,0,0,0,27.1223731835683,2.9961721882311,27.1832413673401,26.9511218070984,2.6434974670411,1.1174297332764,89.2729166666667,107.870964714804,205.38,36.4969696969697,308.7,94.9,30.1350406681697,2.66305440117578,238.071833046196
1980,1967.43714181744,0.999922121802617,242,0,196,0,27.1080157756805,2.55977747205302,27.179709593455,26.8308758735657,1.9228610992431,0.598762512207099,99.8521739130435,92.5959066391045,186.047368421053,39.1962962962963,256,93.2,24.3813790779728,0.845746348107082,206.029555173705
1981,1978.70357185953,0.999299418632729,557,0,63,0,26.765736023585,2.3506870302541,26.8394799232483,26.6943287849426,2.1080093383789,0.833290100097699,115.61644129526,95.9232418916556,183.987153494607,39.8464316837874,430.977777777778,87.915791729839,32.6015041285171,9.09003694374969,391.555577230939
1982,1972.01345632408,0.996190642244561,362,0,119,2,26.8464991251628,2.52710294633624,26.9214803377787,26.6276001930237,2.1100940704346,1.1358661651612,134.255046358774,100.62515555645,238.223179610719,40.1242096631165,376.885422662537,95.0479180203595,21.8293925770326,3.33750499816089,262.753096335181
1983,1969.00146424714,0.990613144479053,282,0,176,2,27.2530468304952,2.91040463810708,27.440554300944,26.721519947052,2.0968399047852,0.686244964599599,98.2370811298295,90.6959271957656,211.273627253821,43.541365030973,384.627777777778,87.0907411167665,27.7416009797526,1.30622652912669,172.041286683316
1984,1999.16096059766,0.982596535771026,2080,0,1997,1,27.5465867519379,2.94450710826419,27.8130474090576,27.0443301200866,2.2114486694336,1.011137008667,110.687773304862,99.414121103602,194.641429069975,35.7251342304487,417.707032434481,84.4213450292398,97.0223173045749,444.635732437232,1732.03203801525
1985,1986.75446072997,0.972182516318668,2903,0,2833,13,27.480192899704,3.15936853004288,27.6424210866292,26.9175806045532,2.361343383789,0.405166625976602,119.63182093714,94.0265973353536,214.794317520975,37.6686247181333,361.016659672587,86.8237153391953,146.412711176883,19.6389526595288,2596.2436311353
1986,1999.06016453524,0.959424647556539,2099,0,1287,41,27.1667991479238,2.80451019687414,27.301164150238,26.8119087219238,2.2213592529297,0.619873046875,143.263888888889,98.4207234773008,290.214285714286,49.75,384.4,86,112.671928149685,286.457456662407,1287.32209543379
1987,1999.4288500777,0.944388065232377,2018,0,765,113,27.5819165706634,2.29924148856983,27.7929174105326,27.2174410820007,1.8966007232666,0.7902431488037,92.5170212765957,124.028162210444,231.892857142857,33.3878787878788,424,99.1,103.342075835953,326.634580825065,866.512034978881
1988,1996.98116394766,0.927149135673547,1399,0,1045,321,27.626719156901,3.48256905951473,27.8681154251098,27.1181335449219,2.7480792999268,0.8858032226563,89.1418604651163,86.8980707261684,182.957142857143,43.851724137931,222,98.7,96.688890481377,258.722590993797,1016.74713173261
1989,1987.19158456982,0.907795057105996,857,0,651,179,27.5272378921509,2.50289419461822,27.6182881991068,27.3657484054566,2.2385368347168,0.556079864501999,58.2666666666667,84.5438275825944,124.95,44.93,380.02146163484,99.2,88.5357310220992,29.8816309192633,610.962983208282
1990,1989.28900375908,0.886423408154489,946,0,0,0,27.2369345823924,2.53591703965586,27.4341580073039,27.0189571380616,2.3511371612549,0.945514678955099,121.713861684834,99.1670397906847,221.756155981676,40.7093086622847,366.361908737035,83.4904483430799,46.0878387306456,73.5274796548563,386.196913311274
1991,1992.50095507702,0.863141645908404,1102,0,0,0,26.9376634756724,3.46562205098242,27.1111458142598,26.5291872024536,2.9495048522949,0.9692687988281,105.84200959217,99.0963342792673,204.026825396825,38.0356280462294,254.238825353063,87.6915144514235,57.1342339913858,131.501758683681,855.818796963507
1992,1998.60282313775,0.838066556178734,1572,0,0,0,26.8409071763357,2.92552507341028,27.0737169583638,26.2518916130066,1.9446601867675,0.850122451782202,124.802890881456,95.4307687233993,222.263807505137,38.6208804069782,281.269312022781,96.0812513536929,68.597278155015,334.079446328977,1345.30163620349
1993,1998.75016741661,0.811323658800943,1593,0,0,0,26.9933721224467,2.35242755402436,27.1720280647278,26.7404928207397,2.0073280334473,0.902271270752003,63.1592592592593,101.765063358151,150.771428571429,32.495,114,98.5,108.622126719368,351.508463164253,841.903740025822
1994,1989.28900375908,0.783046571050679,946,0,0,0,27.0579625765483,3.10949814784491,27.2178673744202,26.5936460494995,2.6770763397217,0.561216354370199,156.473076923077,96.1117086996287,271.923076923077,41.0230769230769,403.2,98.4,34.9281170381899,43.7921332680141,517.672413057132
1995,1991.83178586257,0.753376332437337,1067,0,0,0,27.0238994757334,3.44141807283131,27.2241916656494,26.47806930542,2.5223064422607,0.977159500122099,90.3382978723404,112.391388818053,221.257142857143,34.7969696969697,260.5,93.4,59.9765058712195,110.654747088363,667.743293882969
1996,1998.84244278341,0.722460694320087,1607,86,1204,317,27.2299220561981,2.88189301087272,27.3352255821228,27.0391402244568,2.3108158111572,1.4320964813233,107.727083333333,107.928736671963,228.6,41.441935483871,407.7,99.3,88.1631383678802,558.724067270636,1109.020469143
1997,1999.59289253449,0.690453377954393,1781.5,0,0,0,26.9044012228648,2.57028510587072,26.8454084396362,26.8360977172851,2.0511550903321,1.4842319488526,98.5083333333333,98.003350162523,192.995,31.0178571428571,245.5,97.7,79.1887547433111,677.016870964317,2020.74128844888
