"ano","ano2","sinano","c.total","c.rosa","c.7barbas","c.branco","tsm_med_PB","tsm_coef_PB","tsm_med_chuv_PB","tsm_med_seco_PB","tsm_amp_chuv_PB","tsm_amp_seco_PB","prec_med_PB","prec_coef_PB","prec_med_chuv_PB","prec_med_seco_PB","prec_amp_chuv_PB","prec_amp_seco_PB","c.rosa.recon","c.branco.recon","c.7barbas.recon"
1963,1977.78436423449,0.671601183664412,55,0,0,0,27.2496776580811,2.94871103376111,27.5027024405343,26.7802362442016,2.1370601654053,1.4252586364746,94.7568181818182,95.0459786583393,163.886363636364,25.6272727272727,274.6,62.4774691358025,5.60547412337055,15.3782941989353,8.09462240880198
1964,1977.73327517673,0.704438111650862,51,0,0,0,27.4592669804891,3.82050581273481,27.9768289838518,26.4096331596375,2.3995704650879,0.8139457702637,163.302083333333,105.438923299206,250.523333333333,17.9333333333333,631.4,45.8,4.19212657250613,14.1894885263068,6.79040777282945
1965,1979.72046205989,0.736239901570285,219.464597312858,0,0,0,27.066764831543,3.06228425132338,27.466191973005,26.3994603157043,2.1257019042968,0.962419509887699,99.7720930232558,135.350150880783,199.283333333333,28.124,640.2,63.4,21.5957363431032,57.0065526763384,29.5682611785074
1966,1977.47498022779,0.766847699119495,31,0,0,0,27.3276181221008,2.66569166579225,27.6238904680524,26.7769618034363,2.0250911712646,1.16237449646,90.3315789473684,112.847558438941,154.263157894737,26.4,473,69,3.53401285679834,11.6020302071553,5.63268171562702
1967,1977.5788681394,0.796108842583746,39,0,0,0,27.2136999766032,3.70293835973449,27.6514301300049,26.282742023468,2.4566955566407,0.652677536010799,104.130555555556,118.172875063211,209.91875,19.5,349.8,65,4.22675750314654,12.1123666435832,5.98228823045325
1968,1977.84795840105,0.823877617402935,60,0,0,0,27.2319898605347,2.78386109533181,27.4830989837647,26.7675533294678,2.0076580047607,1.0569820404053,79.6944444444444,103.23275274788,143.411764705882,22.6842105263158,283.8,69.8,6.36862496342723,16.9194528399996,8.62866949244031
1969,1984.3229132001,0.850015974192204,901.874769005739,0,0,0,27.5114143689473,3.15022680475093,27.9631794520787,26.7063970565796,2.139892578125,0.757703781127901,125.141935483871,113.223279874926,239.5,30.9647058823529,471.5,64.3,99.1172934142416,236.85135922436,137.755490117177
1970,1984.62484867728,0.874394206722028,1104.48809433629,0,0,0,27.3672663370768,2.60516650912777,27.5937143053327,26.8606357574463,2.0305309295655,0.496675491332997,120.021212121212,123.626249138763,217.988235294118,15.93125,464.8,46.7,97.5717749994129,265.179568424518,140.551799086322
1971,1982.17818225349,0.896891586574461,1771.10849149457,0,0,0,27.2383286158244,2.94632860414144,27.6299754551479,26.5208659172058,2.325569152832,0.3234157562256,34.725,116.132604556866,81.4666666666667,6.68,349.252626016494,17.9,55.0940284550471,179.139229546521,75.3260646486855
1972,1983.2269428599,0.917396951420413,1614.53761795819,0,0,0,27.3497163454692,1.68431974604472,27.4925765991211,27.1584234237671,1.2060031890869,1.1555290222168,110.726852203735,118.712574002182,178.296930776814,26.2803974088751,269.319672795959,57.6203703703704,111.955385700014,230.901383113496,119.727547987294
1973,1983.29349247725,0.935809244104226,1602.86114603345,0,0,0,27.9467786153157,2.49764768766657,28.2851268223354,27.2913703918457,1.7869892120361,0.4717102050781,108.934285714286,131.582105668391,185.672222222222,27.6823529411765,554.1,43.2,94.7047430042823,231.830594926556,118.261064063279
1974,1962.13838136901,0.952037999977709,3075.0254188183,0,0,0,27.4453852971395,2.74697823113654,27.7245317186628,26.8602566719055,1.9423427581787,0.996488571166999,120.125,90.0047347735005,197.635,23.2375,340.4,57.3,0.147919634894448,215.358321249135,206.866197787732
1975,1978.8485496586,0.966003780192221,142,0,0,0,27.4287288983663,2.51815966075459,27.6907498495919,26.9290080070495,1.9067554473877,0.8875942230225,63.8484848484849,100.495282761612,131.325,25.2904761904762,205.8,64.9758230452675,14.3363623602303,35.1814182790635,19.1108217203012
1976,1977.48800777429,0.977638548935235,32,0,0,0,26.9892752965291,2.46013087367693,27.2272545950753,26.5526933670044,1.7816658020019,1.1577129364014,78.2255319148936,107.42375044757,153.785,22.2555555555556,256.7,67.8,3.81339167366211,12.3314698275757,6.10060916833897
1977,1977.82255635518,0.986885992884045,58,0,0,0,27.3519719441732,2.31170849725801,27.6339244842529,26.8778581619263,1.7594299316407,0.977537155151399,96.4021276595745,107.610608954805,166.420833333333,23.3391304347826,386.7,67.7,5.9484590419145,17.4122206883085,8.5631498114598
1978,1978.32157334879,0.993701781443465,98,0,0,0,27.3813379605611,2.41440740667922,27.7023767743792,26.7544455528259,1.640962600708,0.577489852905202,98.9395348837209,117.52650056219,190.62,19.2173913043478,436.5,67.9,9.65733241664255,26.7854491686986,12.9263211507698
1979,1977.80983752187,0.998053766634097,57,0,0,0,27.488647778829,2.68931049293751,27.7403678894043,26.9877614974976,2.2215347290039,0.945608139038097,59.3627906976744,120.987039285493,129.5,13.5038461538462,252.8,67.9,6.05421582294665,16.1555675582744,7.79204782114867
1980,1978.55195127695,0.999922121802617,117,0,0,0,27.4546233812968,2.39104749908672,27.7413785117013,26.8439836502075,1.6648788452149,0.5881156921387,36.8305555555556,126.021782124918,122.96,22.9387096774194,160.1,69.9,12.3098402464858,31.5375157634737,16.0744351000562
1981,1977.59180069722,0.999299418632729,40,0,5,4,27.1959217389425,2.08326868415516,27.3937832968576,26.7552747726441,1.6028919219971,0.7705402374268,34.5978723404255,157.954352878222,155.283333333333,16.9365853658537,185.1,61.1,4.40191538390385,15.2720844115896,7.00721717907027
1982,1977.13209639095,0.996190642244561,5,0,0,0,27.2090916633606,2.91772423272937,27.5260056086949,26.5795187950134,2.2230625152588,0.943418502807599,36.3104166666667,120.97294381532,114.566666666667,18.2512820512821,118.2,65.8,1.50586157516615,6.51051739162036,3.50396038836106
1983,1977.11874825769,0.990613144479053,4,0,0,0,27.4321678479513,2.70213047019072,27.783445085798,26.7528023719787,1.8489475250244,0.7068061828613,51.00625,117.739433155554,134.961538461538,19.8228571428571,165.4,64.6,1.34147255414185,6.98752836080284,3.60641378578144
1984,1977.98682069209,0.982596535771026,71,0,0,0,27.6724457740784,2.70071916681151,27.9993882860456,27.0894680023194,2.0091896057129,0.877357482910199,100.333333333333,131.600921894321,211.2,21.1428571428571,462.1,69.5,7.13463363962535,19.9272709665075,9.47762375960898
1985,1978.16147663985,0.972182516318668,85,0,0,0,27.7152539889018,2.86370010694205,28.0923941476004,26.9205136299133,1.7835617065429,0.401994705200199,257.133333333333,96.1421660532647,371.9,27.6,593.3,58.8,7.6165505689389,22.5275875605688,11.435744027725
1986,1978.3826146948,0.959424647556539,103,0,0,0,27.4307301839193,2.29614936275751,27.7101745605469,26.8848786354065,1.6579990386963,0.5478515625,207.036363636364,68.7100526480101,269.4875,40.5,290.1,7.5,4.55426983086884,25.6043893912259,14.9405540758728
