"ano","ano2","sinano","c.total","c.rosa","c.7barbas","c.branco","tsm_med_PA","tsm_coef_PA","tsm_med_chuv_PA","tsm_med_seco_PA","tsm_amp_chuv_PA","tsm_amp_seco_PA","prec_med_PA","prec_coef_PA","prec_med_chuv_PA","prec_med_seco_PA","prec_amp_chuv_PA","prec_amp_seco_PA","c.rosa.recon","c.branco.recon","c.7barbas.recon"
2000,1982.05188933361,0.58949179155989,2336,2336,280.32,233.6,27.9155043420337,1.52213759657541,28.1779703801992,27.5480518886021,1.1028785705566,1.2419147491455,221.670512820513,77.5666837754481,302.318691588785,45.5612244897959,657.8,88.4,614.065002785155,242.794312756531,290.046863925898
2001,1988.47027440082,0.554746955881304,3039,3039,364.68,303.9,27.6216764450073,1.83794960039398,27.9091749775167,27.2191784994943,1.3229141235352,1.6137428283691,186.369230769231,87.9819191225202,283.332291666667,31.2283333333333,566,78.3,2310.23310329339,298.973327767453,347.148072211704
2002,1994.23639550316,0.519740900950844,3897.5,3897.5,467.7,389.75,27.6812782514663,1.46027702002926,27.8485511079127,27.4470962524414,1.2183265686035,1.4263782501221,179.508974358974,80.909819112237,264.888659793814,39.1389830508475,482.1,89.6,4170.2472651097,365.892790995097,406.190947486865
2003,1991.67334315741,0.484646305307353,3473.5,3473.5,416.82,347.35,28.0520298367455,1.70267802507935,28.3458204074782,27.6407230377197,1.6096954345703,1.1846942901611,180.330769230769,83.6351994464046,250.820588235294,47.1833333333333,629.5,87.9,4897.79097127382,381.205447260258,420.899192752585
2004,1992.83852736696,0.449636068176264,3655,3655,438.6,365.5,27.9132454962958,2.00486489285318,28.2648144157565,27.4210490090507,1.6182022094727,0.812049865722699,191.376774193548,86.1729917394293,264.725961538462,41.8019607843137,755.9,88.8,5972.35509621114,382.58006646928,497.055256808911
2005,1989.55463985562,0.414882458019471,3177.5,3177.5,381.3,317.75,27.9746549924215,1.85470168607065,28.2765973538768,27.5519356863839,1.4980163574219,1.4092464447021,194.938461538462,83.6221184678621,284.961616161616,38.5824561403509,713.5,88.7,4910.0221240204,300.834792464204,412.790488596402
2006,1993.02741100445,0.380556266097818,7596,7596,911.52,759.6,27.8874962897528,1.91700327757077,28.1095554196105,27.576613507952,2.1175365447998,1.118350982666,211.765384615385,84.1136567076977,300.283495145631,39.7396226415094,676.9,88.6,23026.5786001388,726.883461695486,802.198671893526
2007,1979.45605527174,0.346825969195469,2091,2091,250.92,209.1,27.9281345776149,1.99007690633397,28.2899902499452,27.4215366363525,1.2480487823486,1.4328784942627,181.075483870968,88.4102776364905,270.051041666667,36.3016949152542,561.2,88.3,2523.44532852135,203.072253760001,244.068332633363
2008,1996.61949779885,0.313856905595594,4417.09033446222,0,0,0,27.9923847289312,1.407723625115,28.1841156628667,27.7239614214216,1.4159660339355,1.0977020263672,210.75641025641,77.4303241186213,285.719444444444,42.0895833333333,645.8,87,10464.7604351226,431.65150175561,545.752343491361
2009,1998.0091086859,0.281810468319621,4867.11673996646,0,0,0,27.8423697380793,1.55896641266677,28.1035180383799,27.4767621176583,1.189151763916,1.1312484741211,221.04,93.0785417276082,337.257731958763,26.6758620689655,824.3,87.1,11733.6485553314,342.384930461155,717.090330171461
2010,1997.3584943845,0.250843319543787,4631.13179721409,0,0,0,28.4355602718535,2.17961129759752,28.7562740870884,27.9865609305246,1.7009468078613,1.4948902130127,180.004516129032,69.642724883415,235.58018018018,39.8022727272727,446.5,87.2,14627.52495561,415.753548332377,454.584214560348
2011,1997.34597414819,0.221106629990628,4627.12909495857,0,0,0,27.9973582313174,1.47972204038503,28.2572804275824,27.6334671565465,0.964942932128899,1.2158679962158,210.811612903226,81.6184392118288,304.765656565657,44.7142857142857,577.6,89.8,11665.1081151608,450.393758199024,530.382903288666
