"ano","ano2","sinano","c.total","c.rosa","c.7barbas","c.branco","tsm_med_BA","tsm_coef_BA","tsm_med_chuv_BA","tsm_med_seco_BA","tsm_amp_chuv_BA","tsm_amp_seco_BA","prec_med_BA","prec_coef_BA","prec_med_chuv_BA","prec_med_seco_BA","prec_amp_chuv_BA","prec_amp_seco_BA","c.rosa.recon","c.branco.recon","c.7barbas.recon"
1959,1959.87692865206,0.533251042822157,458.575759885504,0,0,0,26.5882983406385,4.2262974817993,26.8125541806221,25.909579873085,3.3077068328858,2.2981052398682,80.8151485549333,94.3193150310436,197.07135204233,44.2231960410467,347.047897879905,111.316390196547,104.717621083279,0.247500852099329,95.7433399575155
1960,1960.53567027132,0.568544268430181,513.419227029124,0,0,0,26.2545674045881,3.69981750557391,26.5126379728317,25.5318376421928,2.6061763763427,2.3584690093994,80.7981962623869,92.1027647256067,199.675147659709,46.1617467419769,294.289902448482,110.756890795818,103.138741471786,0.271965844052136,46.82492855864
1961,1964.30858438369,0.603483540130634,835.263860670559,0,0,0,26.2860832810402,3.91634094967473,26.2961397767067,25.8961864113808,3.324893951416,2.1035919189453,48.732183908046,120.744446800441,193.8375,34.0379746835443,246.9,118.6,124.125646055707,2.51512157400869,92.2238808423238
1962,1957.49029540194,0.637893377081368,263,0,0,0,26.3518812656403,4.48100727493954,26.384629547596,25.8913896083832,3.5754070281982,2.8535747528076,65.0479591836735,84.766876830315,156.711111111111,44.42375,106.8,118.7,88.382691753496,0.831699432374729,338.217513624832
1963,1959.93024040813,0.671601183664412,463,0,0,0,26.4181815187136,5.0625441189501,26.5542244315147,25.7094942331314,3.8366279602051,3.0670394897461,69.2456310679612,127.403665811397,226,38.2593023255814,473.4,117.8,106.101519811968,0.823908286058024,51.4480372204202
1964,1959.5923369229,0.704438111650862,435,0,0,0,26.4480215708415,3.99528947819815,26.7546440958977,25.7717164158821,3.2031745910645,2.2958545684814,172.760396039604,102.776395944122,276.276923076923,62.9061224489796,1222.7,114.4,101.461689438455,0.01320851420865,2.53239117008662
1965,1968.09966696412,0.736239901570285,1173.2283240493,0,0,0,26.7965068221092,3.66492317154073,27.1241482496262,26.2353103756905,2.7493705749512,2.1906929016114,77.8306818181818,117.171330063939,246.357142857143,45.9472972972973,370.3,112,149.44001983369,1.66823134398538,83.2053954114767
1966,1961.32919991386,0.766847699119495,580,0,0,0,26.47288864851,3.9896026004742,26.5164036750793,26.0840742588043,2.811466217041,3.1015281677246,114.960396039604,95.9589695301304,245.984375,54.195652173913,395.9,111.6,109.609945641316,0.2256493384856,115.573051987629
1967,1961.35293145544,0.796108842583746,582,0,0,0,26.5825717449188,4.71596033992291,26.9155859351158,25.6140414476395,3.2411575317383,2.12744140625,99.6117647058824,80.9063929486876,193.52962962963,55.8913793103448,268.9,117.5,106.735551351003,0.24484262974859,16.3110616891428
1968,1960.90098434564,0.823877617402935,544,0,0,0,26.083465218544,4.97966280555656,25.8770112395286,25.6219725608826,4.1212425231934,3.5316543579101,121.0825,102.015034056691,250.032142857143,51.6480769230769,455,117.9,106.24165127086,0.308337191507634,40.5794818621877
1969,1961.76724152778,0.850015974192204,617,0,0,0,26.9066298007965,3.54311862402537,27.0535828471184,26.4184952378273,3.1031646728516,2.0113468170166,102.828723404255,101.971943089871,228.976666666667,43.696875,469.9,113.4,123.501069123948,0.18551715108796,31.5954625498234
1970,1961.58990985324,0.874394206722028,602,0,0,0,26.5929741859436,4.12744513121861,26.5915343761444,26.2908267974854,3.4175224304199,3.1033229827881,76.9301075268817,92.4142252660659,197.652941176471,49.9263157894737,291.3,117.1,107.91316630569,0.352953367821501,180.930108043642
1971,1961.54256319448,0.896891586574461,598,0,0,0,26.819667438666,5.22096772856223,27.1616606116295,25.6862959265709,3.8180694580078,2.4542617797852,86.7121111065957,86.4769141098326,199.760392580508,50.0025282822866,296.497890835546,112.424032765931,112.129325323773,0.322169063234835,17.8118444515815
1972,1961.37665686943,0.917396951420413,584,0,0,0,26.8630934357643,3.58990308093612,26.798519551754,26.4288175702095,2.7121696472168,2.771448135376,107.035306855237,101.553196871422,196.374554315494,49.9111035933627,275.018522025814,115.97614846597,115.998064660714,0.502229897001058,146.607038923629
1973,1962.83566533214,0.935809244104226,708,0,0,0,27.3835573593775,4.03546106929112,27.7661960721016,26.5041886568069,3.0025768280029,2.1615791320801,89.8597222222222,114.287676921405,228.776470588235,46.9218181818182,472.1,118,129.180503099865,0.409763214607127,35.3471232718756
1974,1965.60394207691,0.952037999977709,949,0,0,0,26.9153551657995,4.00334532043961,26.9276966452599,26.5216971635818,3.4869403839111,2.3974628448486,111.2125,79.4193251539511,194.342857142857,58.3113636363636,335.3,106,135.138328493484,0.221526163321029,88.9209540190485
1975,1967.88866948705,0.966003780192221,1154,0,0,0,26.723630130291,4.44487716988333,26.6430687308311,26.1601778864861,3.3732585906982,2.5217781066894,104.92602739726,103.717170369251,197.533333333333,59.5673469387755,617.5,118.8,143.424831148866,0.370302380383305,17.8558434372182
1976,1966.88241938342,0.977638548935235,1063,0,0,0,26.3159333070119,3.81444513347873,26.3137359023094,25.9416188001633,2.8916664123535,2.7118949890137,63.4214285714286,100.009980129605,174.99375,37.1691176470588,176.2,112.5,139.925206269084,2.25849500839063,72.3826571622228
1977,1970.84187482287,0.986885992884045,1428,0,0,0,26.6208408673604,3.90497130038725,26.9117715954781,25.9861875772476,2.9855098724365,2.7329406738281,99.15,86.1947948932091,194.803921568627,52.6895238095238,376.9,117.3,166.070029294728,0.645221221906568,36.7819688986596
1978,1987.11659524778,0.993701781443465,3194,0,20,0,26.591436902682,3.30068959611524,26.5804555416107,26.1290044188499,2.6939601898193,2.0975914001465,105.362179487179,70.5974670307671,184.6375,60.968,239.1,116.8,305.815611387122,17.2422168961868,62.0412747754155
1979,1976.93602403385,0.998053766634097,2031,0,0,0,26.5548516909281,3.62785718939599,26.7196617126465,26.177195250988,3.0918788909912,2.6237182617187,77.3058064516129,84.4240015758511,177.432352941176,49.1710743801653,195.9,119.7,200.231604927067,5.80240591307724,129.220832099204
1980,1977.64552384038,0.999922121802617,2105,0,27,1,26.5736955404282,3.59156780635128,26.6805401444435,26.011381149292,2.8582935333251,2.1629772186279,96.7365384615385,87.7159410446414,212.990909090909,51.0651785714286,251.9,117.5,218.060600397197,5.5186502252852,35.9961825267659
1981,1977.83584055868,0.999299418632729,2125,0,24,11,26.1718156139056,3.81630431938961,26.2827452421188,25.6319410800934,2.9205341339111,2.5227355957031,88.3288520383846,94.0851614327011,199.61265985247,49.0860816006384,478.2,109.788117283951,208.220985778025,2.76921322438998,10.1165532207506
1982,1979.92552403549,0.996190642244561,2349,0,15,2,26.2969236175219,3.2214013921935,26.2321109175682,25.9986279606819,2.5600204467773,2.4251270294189,80.8961225657424,97.5124732875978,211.084764154709,47.3953884182281,308.176753404025,107.492889673484,224.636215295485,10.3299273904089,42.2358146793457
1983,1986.79292814525,0.990613144479053,3153,0,19,9,26.7536013921102,3.92567492368858,26.9161598086357,25.984675526619,3.1490058898926,1.952299118042,82.7585369893845,88.7354327707711,198.65564193238,45.1040794581148,311.566666666667,112.621004295931,311.529205430878,32.5709319636935,26.1954460643897
1984,1986.20223026151,0.982596535771026,3079,0,83,7,27.0680757363637,3.94213689294048,27.3546395897865,26.2465982437134,2.6348724365234,3.1037025451661,94.2438611272912,86.2953906712088,188.299166648126,48.5000981968135,528.133333333333,107.383333333333,321.604076584164,7.95487326062584,103.139725436136
1985,1988.75664588526,0.972182516318668,3407,0,75,6,26.7967462937037,4.49524181922436,26.9706620573997,26.0266525149345,3.6627540588379,2.4409370422364,100.429032014045,95.0082940023673,197.250695970869,48.616898045494,253.069484153196,112.877406394189,355.30125032377,114.898977650524,86.3683871184519
1986,1990.52131617171,0.959424647556539,3647,0,64,98,26.7540560364723,4.39317642881892,26.8937136530876,25.9465808272362,3.0814304351807,2.4294185638427,69.7754237288136,90.853340786021,195.913333333333,51.4058252427184,307.3,112.2,320.425245113491,96.5852513404602,61.5782512525094
1987,1998.97601981231,0.944388065232377,5031,0,64,772,27.1491317152977,3.28930997073292,27.3842616081238,26.6642466783523,2.8059005737304,2.0480918884277,66.9612903225807,89.4999743815201,169.9,43.2690476190476,179.4,118.9,478.75729234429,670.02832627661,488.390468582355
1988,1992.85026913651,0.927149135673547,3984,0,514,1690,27.0581214030584,4.74729958089294,27.3319110274315,26.2352473139763,3.5367794036866,2.4384841918945,87.4288732394366,78.2378780995155,185.297142857143,55.4158878504673,208.6,118.9,383.472868919176,147.546916938475,237.561916396947
1989,1982.36840089867,0.907795057105996,2622,0,1004,451,26.8308399518331,4.3055321750985,26.9519937038422,26.2882534861565,4.0295391082763,2.6459674835205,63.9459459459459,100.750789563698,170.325,34.6,80.1,108.8,266.40700551533,144.405330930994,621.48283708419
1990,1991.73862296853,0.886423408154489,3820,0,413.5,752,26.9224334359169,3.6797994673208,27.2306872606277,26.3892419338226,2.8433170318604,2.1808414459229,126.0875,97.1030097412356,267.4,41.3,111.9,70.8,478.036366068074,518.692741077609,476.230242968676
1991,1990.52609514118,0.863141645908404,3647.66666666667,0,413.5,752,26.3245944182078,4.38394132831787,26.6125692129135,25.6711151003838,3.3301849365234,2.5499305725098,126.052631578947,78.2103707901994,234.485714285714,62.8,187.4,100.3,367.726872703787,111.466818918734,100.643640635326
1992,1992.07754316727,0.838066556178734,3869.36111111111,0,413.5,752,26.4864142735799,3.61988036824525,26.8286138176918,25.7375856041908,2.708574295044,1.9239387512207,123.165384615385,59.1512855031757,189.136363636364,74.7866666666667,211.1,95.9,365.505602574767,31.3474481087444,49.81746273817
1993,1994.58393325085,0.811323658800943,4252.9212962963,0,413.5,752,26.7282419204712,3.62141153995393,26.8396627902985,26.2268627285957,2.8141651153564,1.6782264709473,52.9929487179487,106.79151262009,180.18125,38.4571428571429,260.8,117.4,370.605800867721,525.24342016367,98.4222023849342
1994,1997.09317197069,0.783046571050679,4677.07484567901,0,413.5,752,26.6670539577802,4.47741262274563,26.8601374030113,25.9328761100769,3.3581981658936,2.3049755096435,80.7933333333333,99.3100257798217,200.572727272727,47.0094017094017,356.9,118.6,448.121138750534,437.185173916676,106.171430635547
1995,2001.11683552355,0.753376332437337,5486.5,0,0,0,26.6954449017843,4.29067683277742,27.0167705416679,25.8998158574104,2.9097366333008,2.1881771087647,81.0314102564103,103.473292839371,203.937142857143,45.4801652892562,389.6,118.2,537.547254838256,791.865994101738,98.4320157098538
1996,1998.16447595528,0.722460694320087,4874,487.4,0,560.472270479327,26.7146294911702,4.80021651332191,26.7223628759384,26.0699127912521,3.5090465545654,3.3448257446289,73.9212903225806,124.528343525055,219.203448275862,40.4833333333333,637.6,119.5,475.01996676379,551.671292121802,283.959795417865
1997,2002.90320306813,0.690453377954393,5932,593.2,4152,682.134080525927,26.4378215670586,3.43914570276131,26.2856724858284,26.3291782140732,2.4009876251221,2.8015003204345,90.4616883116883,101.969587063804,214.592105263158,49.798275862069,483.6,119.1,582.673246816545,541.919535387528,598.608359228624
1998,1999.8814530452,0.657513304720526,5215.5,521.55,2587,599.742126935767,27.3938581943512,4.24308945540289,27.4620441198349,26.7098242640495,3.5650959014892,2.2218475341797,69.6852564102564,102.576787432052,199.319230769231,43.7584615384615,261.1,118.5,514.859043199383,1141.43857581862,1669.53396509869
1999,2000.63347251474,0.623803802411014,5377.5,537.75,1685,618.370872897534,27.0219946901004,4.84679878690307,27.3396598100662,26.0442440509796,3.5456104278564,2.5637531280517,102.687741935484,85.1219427314332,216.286363636364,57.6576576576577,262,116.8,562.279870560988,632.217768912249,712.432256856412
2000,2000.26248817851,0.58949179155989,5296.5,529.65,2136,609.056499916651,27.0688961346944,3.91857427814017,27.1772477626801,26.5313141942024,3.3135509490967,2.3405857086182,99.6403846153846,75.8120972144382,189.047058823529,56.2142857142857,245.3,117.4,551.8907786191,316.248804342908,1996.6060706711
2001,1994.04843659417,0.554746955881304,4168,416.8,2081,479.287735608912,27.0904263456663,4.30535137668955,27.4903275966644,26.3329148888588,3.1223049163818,2.8835430145264,80.1870967741935,85.1306819966681,179.828205128205,46.6870689655172,146,117.5,413.512872281482,374.635520804923,4294.65991567084
2002,1996.83677239836,0.519740900950844,4631.5,463.15,2312.5,532.586647666189,27.001486937205,3.45266860594477,27.257175385952,26.4039853811264,2.1994647979737,2.1450881958008,85.9519230769231,90.6007061658044,193.1575,48.9844827586207,263.4,117.4,464.117206578103,302.271273066143,1321.0131122468
2003,2003.54890101108,0.484646305307353,6115,611.5,2858,703.177663927182,27.4540972908338,3.89300748591785,27.600746512413,26.8314854502678,3.3619403839111,2.2875499725342,69.4350993377483,96.7930692184986,171.924137931034,45.0729508196721,430.5,119.7,598.262996686694,452.381488731101,3497.28739212062
2004,2004.1432971489,0.449636068176264,6298,629.8,2943.5,724.221247328437,26.9046167731285,3.84760762360522,27.1151636242867,26.2495962381363,2.8529911041259,2.4223289489746,89.6416666666667,101.608881274007,208.173913043478,40.0736363636364,273.2,118.9,694.123096088928,1564.2856753696,2637.46241886412
2005,2005.22774424227,0.414882458019471,9970,997,5511.5,1146.47282246182,27.1546784838041,4.18505590123721,27.3264878988266,26.4732615947723,3.3650932312011,2.320894241333,102.842948717949,86.797926836869,207.785106382979,57.5926605504587,351.5,119.7,940.468354696444,14.3603948877431,5935.79444237539
2006,2005.44673095346,0.380556266097818,6773,677.3,3872,778.842570364481,26.9054068922997,4.74814880875518,27.0101025700569,26.178759932518,3.9529037475586,3.2248134613037,90.8814102564103,97.7584187628146,208.44358974359,51.6940170940171,465,119.7,687.027630245074,629.485748046149,4776.41719625625
2007,2003.94926444036,0.346825969195469,6236.5,623.65,3141.5,717.149223398507,26.7926459511121,4.24631275076992,27.1008315682411,25.9954035282135,3.1913719177246,2.2354049682617,77.2365384615385,86.2125103817574,187.978787878788,47.5252032520325,169.2,113.9,592.808174389069,1609.36259009027,3605.3819851092
2008,2002.57356500917,0.313856905595594,5843.77070825453,0,0,0,26.8209443688393,4.14663034084686,27.073178768158,26.2649250626564,3.8104400634766,2.3415622711182,73.1833333333333,84.475879279677,175.39,48.8484126984127,201,118.3,537.824037837592,1018.53754618877,7551.78036846781
2009,2006.55380561813,0.281810468319621,7342.46418276718,0,0,0,27.2165554364522,3.60791426840164,27.1690429449081,26.8354313969612,3.1790733337402,2.3298206329346,81.1455128205128,110.216364687557,205.236842105263,41.1838983050847,427.2,112.2,770.957295462919,787.578607643814,16522.4284199917
2010,2004.76215318528,0.250843319543787,6507.99137489532,0,0,0,27.2331566413244,4.86740715151098,27.5031194090843,26.3063763976097,3.4393844604492,3.2266368865967,92.2410256410256,96.0915246165732,217.138461538462,50.608547008547,369.7,113.8,693.128497355204,843.106612124599,21828.6930967074
2011,1999.86258477623,0.221106629990628,5211.54373258334,0,0,0,26.7753058671951,4.69054238199665,27.1214752793312,25.748941719532,3.4264774322509,2.7701988220215,84.3102564102564,94.7567603420193,205.688888888889,47.8966666666667,235.3,115.8,514.021693647798,1124.61219324191,6206.10982104565
