"ano","ano2","sinano","c.total","c.rosa","c.7barbas","c.branco","tsm_med_SC","tsm_coef_SC","tsm_med_chuv_SC","tsm_med_seco_SC","tsm_amp_chuv_SC","tsm_amp_seco_SC","prec_med_SC","prec_coef_SC","prec_med_chuv_SC","prec_med_seco_SC","prec_amp_chuv_SC","prec_amp_seco_SC","c.rosa.recon","c.branco.recon","c.7barbas.recon"
1986,1985.09323990042,0.959424647556539,6118,844,3748,474,23.0194621880849,11.1096245728832,26.1154766082764,21.6573445796967,1.2670555114746,6.5716209411621,140.012210401891,62.7549427483342,184.057851696471,70.0976318942833,307.441946305052,77.2945921619559,1032.88981778151,372.874015090563,2570.19362302664
1987,1984.42940418568,0.944388065232377,5505,706,3943,205,22.7011999289195,12.034057314523,26.0318113962809,21.2598488330841,1.285831451416,6.3162670135498,117.917770514783,59.1895012573825,193.707806271277,67.7615229215229,236.5,91.9312584021103,807.062321862803,223.191661883591,3795.85989766233
1988,1982.76571094303,0.927149135673547,4428,1573,1436,162,22.354319413503,11.6995320582382,25.7820733388265,20.9145133495331,0.905502319335898,5.504285812378,78.6266666666667,71.7143360358647,151.55625,52.1068181818182,106.6,103.9,441.541458110338,201.717824385686,1808.09391171286
1989,1984.87239818466,0.907795057105996,5892,1264,2463,862,22.6457335948944,11.6127974437513,26.0685574213664,21.1964679956436,1.7310695648193,5.7156772613525,94.3949152542373,80.4929897847746,182.195,49.3692307692308,233.7,106.4,846.133205689239,242.110230565186,2949.62676249605
1990,1982.19340569781,0.886423408154489,4130,825,1485,442,22.6532205740611,11.6753596717414,25.686074256897,21.3316785097122,1.2775325775146,6.39768409729,138.950045085797,54.8959222749689,187.256961180851,64.1470023418016,257.928644602049,76.5490872162401,720.9999363706,159.852728671169,2089.86312252207
1991,1980.26964712974,0.863141645908404,3270,312,1138,442,22.9280646642049,9.08238493575049,25.2565539677938,21.829008936882,0.9116611480713,4.9126472473145,88.12,72.7267415108114,168.416666666667,53.7071428571429,148.5,88.4,459.451156578372,153.396675261316,1360.15326288854
1992,1979.9436771774,0.838066556178734,3140,266,1054,442,22.4787859916687,11.1703827629406,25.6733722686768,21.1418449878692,0.661909103393498,6.1055126190186,139.672916666667,57.5551983138675,189.778571428571,69.525,271.8,72.3,638.656836777836,161.155396301679,1459.2384832776
1993,1981.33113332787,0.811323658800943,3722,474,1428,442,22.7915506362915,12.3637911661296,26.0675948460897,21.3207002878189,1.5149517059326,7.0018367767334,149.135416666667,57.7430955951067,189.471875,68.4625,284.2,96.7,734.740193842077,195.822808840725,2178.60732164058
1994,1982.40448257167,0.783046571050679,4237,601,1816,442,22.7624266942342,9.97999630597575,25.4580189387004,21.5240111351013,1.4562797546387,4.8071041107178,148.566666666667,64.000342963289,197.269230769231,58.1190476190476,328.4,96.6,882.836468963506,179.991905576124,2385.16667661507
1995,1979.84280288191,0.753376332437337,3100.5,325,2072,72,22.5168495178223,10.6011920756713,25.7084808349609,21.1459414958954,1.7134380340577,4.454273223877,137.5625,80.6996304232264,216.265217391304,65.156,447.4,106.9,888.828683053685,227.632500808022,1793.42758561502
