"ano","ano2","sinano","c.total","c.rosa","c.7barbas","c.branco","tsm_med_PR","tsm_coef_PR","tsm_med_chuv_PR","tsm_med_seco_PR","tsm_amp_chuv_PR","tsm_amp_seco_PR","prec_med_PR","prec_coef_PR","prec_med_chuv_PR","prec_med_seco_PR","prec_amp_chuv_PR","prec_amp_seco_PR","c.rosa.recon","c.branco.recon","c.7barbas.recon"
1961,1983.72924530075,0.603483540130634,1073.74384912389,0,0,0,23.552508354187,8.78181006768809,25.7059326171875,22.1185064315796,1.8358650207519,3.6270904541016,165.557142857143,62.976793145905,214.356,43.56,337.7,87.4,12.8896423964643,259.44960581118,808.228748077045
1962,1966.70472846911,0.637893377081368,308,0,0,0,22.4493123690287,11.5634867646778,25.2823233604431,20.789667447408,1.3355236053467,5.4441947937011,112.642857142857,64.4016639255484,180.306666666667,61.895,219,82.6,7.44373336905406,47.7643948587981,515.482529919509
1963,1967.73439285774,0.671601183664412,345,0,0,0,22.6819542249044,11.1204293705049,25.5652513504028,21.1697521209717,1.8416004180908,5.2100696563721,152.320588235294,90.4262067830145,249.405555555556,43.1,412.2,95.7,8.34411803803373,71.0848500780256,543.43256219832
1964,1964.49450603393,0.704438111650862,231,0,0,0,22.2016894022624,11.3116536849505,24.9355373382569,20.6138381958008,1.8755207061767,5.3091125488282,131.083870967742,60.812023464858,199.242857142857,74.9529411764706,211.4,73.6,7.65296026077528,53.3462792328782,517.587244570979
1965,1964.68515855058,0.736239901570285,237.5190556463,0,0,0,22.7995047569275,9.91973541417925,24.9899950027466,21.2411734263102,1.2526416778565,4.6017837524414,165.94,66.1132081680546,237.082352941176,72.9076923076923,324.1,97.8,15.7057697224773,135.755262560136,409.751922019362
1966,1966.3379630637,0.766847699119495,295,0,0,0,23.0763921737671,12.1491948006176,26.2358598709106,21.4206530253092,2.4520530700684,5.1318244934082,159.194871794872,62.7389644092082,226.377272727273,72.2529411764706,284.8,104.9,16.971748552158,81.623336000488,517.755874561851
1967,1967.12469408914,0.796108842583746,323,0,0,0,22.9589042663574,8.78764071450211,25.1567020416259,21.6893326441447,0.872198104858402,4.5607585906982,140.608510638298,69.0416080069646,198.182142857143,55.7631578947368,326.4,87,11.3942996397083,275.262771230705,366.997028301879
1968,1967.95425851095,0.823877617402935,353,0,0,0,22.1530000368754,11.0284377473363,24.9339504241943,20.5453844070434,2.2338218688965,4.0367012023926,109.112765957447,78.2471416811544,199.405882352941,57.9466666666667,270.2,98.3,4.46489821850647,81.8386483504011,581.786060761717
1969,1977.00553343974,0.850015974192204,721,0,0,0,22.4960460662842,12.103449821754,25.6759595870972,21.1143143971761,2.263017654419,4.9417095184326,139.268085106383,48.8012703352503,173.390322580645,73.15625,199.6,91.3,5.16883918972978,80.7445866999533,696.513229808876
1970,1990.13304998249,0.874394206722028,1591,0,0,0,22.610999584198,10.3178924913093,25.2761125564575,21.3345171610515,1.5042934417724,4.838607788086,147.373913043478,57.5980928513548,197.553571428571,69.3166666666667,245.3,67.4,1.13749588222902,192.512452743147,907.659510169581
1971,1988.75239853699,0.896891586574461,1446,0,0,0,22.6195181210836,12.8503232773994,25.9923009872437,20.7893791198731,2.0936088562011,6.1782989501953,129.660869565217,63.3501563136726,174.733333333333,65.6105263157895,417.2,91,3.33866655223936,85.1549644546235,1016.71884882684
1972,1989.42087194394,0.917396951420413,1512,0,0,0,22.9230289459229,10.6097176761947,25.6451187133789,21.4600887298584,1.2578163146973,5.282112121582,169.882608695652,60.1341872877438,208.108823529412,61.575,302,96.1,2.41991359585573,229.985758758103,795.554435599691
1973,1991.58074465139,0.935809244104226,1805,0,0,0,22.8255688349406,12.1106256339189,26.0253357887268,21.3518555959065,1.1377391815186,6.1856460571289,154.525,33.9692699748334,168.565,84.325,238.5,46.3,0.459133008633952,141.09630625425,881.473813017735
1974,1991.73654287666,0.952037999977709,2440,0,0,0,22.7715085347494,11.5569950610024,25.7985591888428,21.1613314946493,1.5859813690186,5.2383937835693,112.279166666667,51.9762231496766,160.6875,63.8708333333333,129.5,93,0.00104052267648417,182.513614547683,1254.81452590714
