"ano","ano2","sinano","c.total","c.rosa","c.7barbas","c.branco","tsm_med_CE","tsm_coef_CE","tsm_med_chuv_CE","tsm_med_seco_CE","tsm_amp_chuv_CE","tsm_amp_seco_CE","prec_med_CE","prec_coef_CE","prec_med_chuv_CE","prec_med_seco_CE","prec_amp_chuv_CE","prec_amp_seco_CE","c.rosa.recon","c.branco.recon","c.7barbas.recon"
1982,1990.76928884006,0.996190642244561,1363,0,0,0,27.1560155550639,2.44539781099559,27.7188715934753,26.5143312454224,1.0978050231934,0.7154750823975,64.8369047619048,122.879422444806,144.10625,16.0557692307692,334.8,57.4,5.45429456478908,19.5615914957126,15.5441953909634
1983,1986.88045160093,0.990613144479053,1026,0,0,0,27.499756971995,2.07350221859588,27.9919764200846,26.9466455459595,0.9190578460694,0.537145614623999,41.8011904761905,147.501575092848,133.219047619048,11.3285714285714,223.8,59.4,4.05524041575324,18.1484540080908,12.712763017449
1984,1991.89841345484,0.982596535771026,1685,0,0,0,27.4853126207987,1.83182617916547,27.9002679189046,26.9741800308228,0.888147354126001,0.443531036376999,113.747619047619,122.332476863606,232.078947368421,15.995652173913,451.3,55.5,6.27640693446989,24.1119999382651,15.1320523894139
1985,1976.02794575769,0.972182516318668,2809,0,12,4,27.3511147499085,1.76959992409728,27.7709174156189,26.8852472305298,0.5950717926025,0.695247650146399,191.633333333333,106.45997418307,299.34,12.1222222222222,741.7,49.2,1.97594597773607,13.844381203971,16.3630244100152
1986,1991.4136145795,0.959424647556539,1868,1,30,16,27.3362217744191,1.66966854912676,27.7028840382894,26.9396167755127,0.960227966308601,0.491836547851499,126.086363636364,141.775021055893,245.963636363636,6.20909090909091,656.4,20.8,6.48224675761829,26.7565532154125,11.3841306556804
1987,1989.34321384226,0.944388065232377,2126,20,11,38,27.7293764750163,1.45476658666556,28.0227085749308,27.4462808609009,0.878728866577202,0.6851902008056,61.0863636363636,182.505387567955,194.85,10.925,410.9,57.6,5.10318885690072,44.0338627752933,14.2750473856616
1988,1990.97905682226,0.927149135673547,1943,0,13,38,27.8277729352315,2.50413673802586,28.4363210995992,27.1114751815796,0.78662109375,0.721321105957102,114.447826086957,118.612002719584,195.8,8.69,379.1,35.1,5.37191374718002,27.1776586819846,12.7049105845232
1989,1990.35570604919,0.907795057105996,2024,0,11,49,27.6049602826436,1.32323304327876,27.8827565511068,27.2778676986694,0.556194305419901,0.660808563232401,114.27,142.283886277235,199.227272727273,10.4333333333333,556.6,35.9,5.89734954395232,33.2193236539141,10.4283147535157
1990,1990.64859232227,0.886423408154489,1988.5,5,16,35.5,27.3966249624888,1.9317660384927,27.8227688471476,26.9313812255859,1.0522689819336,0.616855621337901,37.5037037037037,142.573013351033,108.0625,7.79473684210526,149.5,34.7,4.8217078110822,34.2377409043689,12.803986633581
1991,1990.66158777054,0.863141645908404,1986.83333333333,5,16,35.5,27.2525827089945,2.90299787947221,27.9295123418172,26.466262626648,1.0871791839599,0.937238693237301,60.604347826087,137.971837268328,161.4875,6.8,202,37.1,4.70253434012556,25.6132353955539,13.1531225262939
