"ano","ano2","sinano","c.total","c.rosa","c.7barbas","c.branco","tsm_med_ES","tsm_coef_ES","tsm_med_chuv_ES","tsm_med_seco_ES","tsm_amp_chuv_ES","tsm_amp_seco_ES","prec_med_ES","prec_coef_ES","prec_med_chuv_ES","prec_med_seco_ES","prec_amp_chuv_ES","prec_amp_seco_ES","c.rosa.recon","c.branco.recon","c.7barbas.recon"
1960,1962.38410590242,0.568544268430181,100.715513338644,0,0,0,25.307516362932,4.56274556395944,26.4732610066732,24.5369305080838,1.8179340362548,2.990156173706,130.491632256302,89.2376574414043,189.105981276823,44.1058103211018,213.55791030431,68.709551611797,27.1500020484367,5.65147842018772,109.737712078429
1961,1972.04645289699,0.603483540130634,486.052588752395,0,0,0,25.5847331153022,4.37180552666375,26.5924058278402,24.7385535769992,1.9520092010498,2.485668182373,92.025,115.192177416031,205.025,35.525,250.2,73.4,35.269224211293,17.470973960881,291.113857310837
1962,1964.04226831524,0.637893377081368,164,0,0,0,25.3749726613363,5.50728059482602,26.6943803151449,24.2562159432305,2.0473937988281,3.2606582641602,79.0818181818182,104.202020027018,232.25,45.0444444444444,109.9,71.9,22.7837261460603,8.03080397276361,129.366952119404
1963,1966.60531689241,0.671601183664412,264,0,0,0,25.6192929479811,6.35710272508997,27.281255086263,24.4205887052748,2.1141929626465,3.7179107666016,50.575,88.0364186542797,123.1,36.07,215.441979369721,83,7.44305482808003,9.67221593154453,282.880161292704
1964,1967.18492109181,0.704438111650862,287,0,0,0,25.3206061257256,4.81464558119282,26.527037302653,24.5237921608819,1.9842014312744,3.2651386260987,101.411111111111,57.0315304974298,130.2,43.8333333333333,292.47452891488,74.9,18.8399561284461,7.83123572674791,352.900645131023
1965,1964.91644880325,0.736239901570285,197.801638809229,0,0,0,26.0562961896261,4.1034850755081,27.0209458669027,25.2887359195286,1.8205699920654,3.101448059082,73.7181818181818,61.8210952113083,113.92,40.2166666666667,213.11688855949,86.9,34.0497318939625,6.64523423917898,270.222628437918
1966,1964.58631236189,0.766847699119495,185,0,0,0,25.7372406323751,5.35930317071912,27.0161529541016,24.6150150299072,1.8869590759278,3.003101348877,76.5545454545455,57.4332574582504,107.883333333333,38.96,219.307147930805,82.5,15.3704098781745,6.16263630148777,269.235595616879
1967,1964.14613364389,0.796108842583746,168,0,0,0,25.7871424357096,5.58680921773242,27.3172738393148,24.833894305759,1.6102886199951,3.3135604858399,122.218181818182,94.7299301422821,252.9,47.5428571428571,185.1,77.2,14.9525333000885,7.70480592922769,150.541312404613
1968,1966.85777351022,0.823877617402935,274,0,0,0,25.0177678002252,5.98714337051552,26.4134824117025,23.7676570680406,2.7969284057617,2.948715209961,56.3833333333333,74.1132663988401,104.3,32.425,267.486740578298,53,8.3942904261467,8.90163502731861,271.606066726137
1969,1973.58822274824,0.850015974192204,551.666955945007,0,0,0,25.914222823249,4.81394832613601,27.1607293446859,25.0112245347765,1.9434337615967,3.0178508758545,133.62,81.0325746309997,222.14,45.1,220.1,71.4,32.5859791133863,14.8969462052084,454.899359258953
1970,1977.1180854895,0.874394206722028,707,0,0,0,25.6177774005466,5.28639299246848,26.8347585042318,24.6715251074897,1.6476535797119,3.5396327972412,110.792857142857,73.2654688897988,177.085714285714,44.5,140.5,49.3,41.0065743533805,16.5249179452045,614.551184847209
1971,1977.42793469157,0.896891586574461,721,0,0,0,25.9445677333408,7.16962567829048,27.899089940389,24.6981346342299,2.404182434082,4.0333881378173,126.491666666667,77.3007238832545,182.7,47.8,370,65.1,4.75764620732326,17.4135598198004,675.018711389889
