"ano","ano2","sinano","c.total","c.rosa","c.7barbas","c.branco","tsm_med_RS","tsm_coef_RS","tsm_med_chuv_RS","tsm_med_seco_RS","tsm_amp_chuv_RS","tsm_amp_seco_RS","prec_med_RS","prec_coef_RS","prec_med_chuv_RS","prec_med_seco_RS","prec_amp_chuv_RS","prec_amp_seco_RS","c.rosa.recon","c.branco.recon","c.7barbas.recon"
1989,1979.18240933197,0.907795057105996,2934,13,126,0,20.9318973382314,13.6429030620491,18.128258857727,23.5463538360596,5.1436519622803,5.798864364624,83.4469879518072,73.5975097733266,159.685185185185,46.6892857142857,132.3,108.9,3154.03482219766,257.919790572116,189.753753112366
1990,1981.10007046456,0.886423408154489,4307,0,0,0,20.6366846402486,14.1580152505754,17.6705142211914,23.2361422729492,4.9380722045898,5.9543762207032,133.925,57.4427699132092,187.542857142857,58.86,122.6,87.2,4797.17690775619,387.685045453546,279.113474632076
1991,1978.66855075432,0.863141645908404,2613,0,0,0,21.1696614265442,11.6337381939416,18.6582526397705,23.2916488647461,5.3045091629028,4.2993774414063,87.3959183673469,64.4485107861599,160.871428571429,58.0057142857143,118.2,91.8203171356111,2059.30500202319,181.152663093936,172.241465017207
1992,1980.67538802785,0.838066556178734,3973,0,0,0,20.8338689963023,13.9755330573722,18.0367707443237,23.556501083374,5.944676399231,5.7253093719483,133.545070422535,53.9164205191406,176.414634146341,74.9566666666667,320.4,84.6,4244.5564131505,344.292077429338,257.658337304091
1993,1979.91169897638,0.811323658800943,3419,0,0,0,20.9375568548838,14.1001092623974,18.0189855575561,23.5731211090088,5.527626991272,5.9597282409668,128.674647887324,53.4472647298442,178.471052631579,71.3333333333333,213.3,84.8,3793.23100876233,306.526116185034,220.765105389426
1994,1977.56454635734,0.783046571050679,1970,0,0,0,20.8876904805501,11.9254280544658,18.3984072875977,22.9565101623535,5.6323566436768,4.7940101623535,134.194791666667,52.0018178527802,180.883018867925,76.6488372093023,256.6,68.6,1721.73570978656,150.673640757477,134.40152096095
1995,1982.91596161758,0.753376332437337,6094.5,0,0,0,20.6819321950277,12.7420991683748,18.09555809021,22.8788307952881,4.322244644165,6.3877010345459,128.057831325301,60.5895854115822,179.902325581395,72.325,375.1,95.5,7336.33122580153,610.549876781435,431.826831894492
1996,1978.93018460019,0.722460694320087,2774.5,2774.5,203.398635211919,233.058,20.9663638432821,13.622246218788,18.1199263763428,23.4236328125,5.6914339065552,5.6979846954346,112.891578947368,67.1888949376035,175.129545454545,59.1960784313725,291.8,106.4,2925.35502526305,239.359477669784,180.343167554495
1997,1980.61545403813,0.690453377954393,3927.5,3927.5,287.925081922801,329.91,20.6943044662476,12.8396346825221,18.0495240783691,23.1640990447998,4.3093509674072,4.9648323059082,144.521052631579,59.5541139230771,195.362711864407,61.1972222222222,258.1,85.8,3626.40124386075,303.105159265202,252.548012307791
1998,1973.56303299563,0.657513304720526,0.5,0.5,0.0366550072466966,0.042,20.8109103838603,11.172741764935,18.5825624847412,22.7165162658691,4.5445594787597,5.3595924377442,141.913333333333,45.5353610746136,174.765573770492,72.8103448275862,203.1,98.5,0.415295241381913,0.167338629171127,29.0703532701336
1999,1976.04989758728,0.623803802411014,1169,1169,85.6994069427765,98.196,20.6067165851593,13.9332977885556,17.724288520813,23.1103988647461,4.9584817886352,6.1476325988769,102.093333333333,44.609682588833,143.138461538462,70.7058823529412,101.9,108.6,1297.55937292636,104.68106020748,93.2610997046191
2000,1983.0191445919,0.58949179155989,6226,6226,456.428150235866,522.984,20.8096489747365,14.3688721506767,17.7914707565307,23.4006572723389,5.5574417114258,5.2190780639648,133.769791666667,47.7834772093207,173.720689655172,72.7921052631579,193.1,88.9,6105.03136930814,491.972404697588,448.41994683019
2001,1973.59930690633,0.554746955881304,16.5,16.5,1.20961523914099,1.386,21.589368724823,12.8441597955363,19.0634191894531,24.0329118347168,4.8111686706543,7.3591957092285,69.6125,87.3891852482579,144.188888888889,40.4304347826087,96.3,102.3,12.2045950799355,1.39255126274036,32.7773901333336
2002,1975.66284652969,0.519740900950844,976.5,976.5,71.5872291527984,82.026,21.5509346008301,12.1551145959169,19.0195816802979,23.8134645843506,5.3422889709473,5.5958671569825,173.471875,48.4371713743772,198.505128205128,64.9944444444444,358.8,109.8,975.649508911821,86.1827538953851,86.282827470341
2003,1973.83358360126,0.484646305307353,120.5,120.5,8.83385674645387,10.122,21.1506571451823,13.6512496462798,18.3852799987793,23.7842613983154,5.0342388153077,6.4840698242187,134.888541666667,56.5304118012292,187.859259259259,66.7833333333333,228.5,91.2,120.154266836673,9.77737184754242,41.7703661340925
2004,1976.30134005712,0.449636068176264,1296.5,1296.5,95.0464337906842,108.906,21.0083195368449,11.8349591928914,18.5666477966309,23.2661672973633,4.1985244750976,5.0040874481201,109.301041666667,70.3305316079521,183.134285714286,66.9377049180328,379.4,89.3,1166.7330437586,104.009822940501,100.564481345943
2005,1980.96945971313,0.414882458019471,4202,4202,308.048680901238,352.968,21.4386258443197,10.9771063160709,19.1956578826904,23.5998474884033,5.024242401123,4.774507522583,117.489473684211,65.1353025979611,189.630952380952,60.3207547169811,212.6,99.7,3733.51771705216,328.4990685633,283.451142612372
2006,1978.099779633,0.380556266097818,2274.5,2274.5,166.743627965223,191.058,21.4481534957886,12.1854929872348,18.9589934539795,23.7016022491455,4.6905593872071,6.0801067352295,103.092708333333,48.2152981885756,155.692105263158,68.6310344827586,94.3,92.2,2550.05849244313,218.652072638845,154.321239388079
2007,1980.69045719741,0.346825969195469,3984.5,3984.5,292.103752748925,334.698,21.5273460865021,14.2252443921775,18.4529800033569,24.2862525939941,5.7334032058715,5.7529335021973,138.957291666667,46.2990770494384,177.476666666667,74.7583333333333,170.4,105.7,4278.07114365574,344.90676299154,268.084770896173
2008,1975.0873075429,0.313856905595594,698.111179093042,0,0,0,21.2739008903503,12.2934989198837,18.6422505950928,23.5605390930176,4.50417137146,5.2166748046875,111.038541666667,57.3735008060235,168.971428571429,65.9796296296296,198.4,94.3,637.505064323781,56.805234875027,72.2178038777195
2009,1975.7481664717,0.281810468319621,1018.55475875502,0,0,0,21.5825280825297,11.964203993339,18.9335165405273,23.7686225891113,5.4365768432617,4.4801902770996,146.365625,70.3487808567148,216.438,70.2,404,107.4,808.062923787768,72.7077176757537,88.4263408219544
2010,1976.79960400825,0.250843319543787,1555.2635951737,0,0,0,21.5220810413361,13.8442370382054,18.6292524337769,24.2981680297851,5.2246427536011,6.3377285003662,119.286458333333,56.699939633791,174.712765957447,66.1224489795918,195.1,88.4,1799.46682407519,145.983350296565,115.379470670022
2011,1977.40083607814,0.221106629990628,1879.3198851573,0,0,0,21.0959474563599,14.073071276432,18.17268699646,23.7749044036865,5.0462121963501,6.4200839996337,128.795833333333,62.0503903986929,184.078846153846,63.4613636363636,293.1,95.9,2216.32524909044,178.556342778747,130.602493089222
